N,,,L
Y,,,L
N,N,N,L
Y,N,N,L
Y,,,L
Y,,,L
N,N,,L
Y,Y,Y,L
Y,,,L
Y,Y,Y,W
Y,Y,Y,L
Y,,,L
Y,,,L
Y,,,L
Y,,,L
Y,Y,,L
Y,,,L
Y,,,L
Y,Y,,L
Y,Y,,L
Y,Y,Y,W
Y,,,L
Y,Y,,L
Y,Y,Y,L
Y,,,L
Y,Y,Y,L
N,,,L
Y,,,L
Y,,,L
Y,,,L
N,N,,L
Y,N,,L
N,N,N,W
Y,,,L
